date,plombier chauffagiste,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,76,False
2018-02-04,25,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,76,False
2018-03-04,100,False
2018-03-11,24,False
2018-03-18,61,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,25,False
2018-04-15,27,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,77,False
2018-05-27,37,False
2018-06-03,25,False
2018-06-10,73,False
2018-06-17,75,False
2018-06-24,38,False
2018-07-01,26,False
2018-07-08,52,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,57,False
2018-08-05,43,False
2018-08-12,89,False
2018-08-19,43,False
2018-08-26,53,False
2018-09-02,78,False
2018-09-09,64,False
2018-09-16,25,False
2018-09-23,51,False
2018-09-30,89,False
2018-10-07,26,False
2018-10-14,38,False
2018-10-21,26,False
2018-10-28,90,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,48,False
2018-11-25,24,False
2018-12-02,73,False
2018-12-09,38,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,73,False
2019-01-13,24,False
2019-01-20,46,False
2019-01-27,45,False
2019-02-03,48,False
2019-02-10,38,False
2019-02-17,77,False
2019-02-24,49,False
2019-03-03,71,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,25,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,48,False
2019-04-28,0,False
2019-05-05,42,False
2019-05-12,43,False
2019-05-19,44,False
2019-05-26,22,False
2019-06-02,41,False
2019-06-09,33,False
2019-06-16,35,False
2019-06-23,46,False
2019-06-30,22,False
2019-07-07,23,False
2019-07-14,0,False
2019-07-21,48,False
2019-07-28,49,False
2019-08-04,78,False
2019-08-11,40,False
2019-08-18,55,False
2019-08-25,74,False
2019-09-01,47,False
2019-09-08,73,False
2019-09-15,60,False
2019-09-22,64,False
2019-09-29,40,False
2019-10-06,30,False
2019-10-13,40,False
2019-10-20,51,False
2019-10-27,41,False
2019-11-03,30,False
2019-11-10,58,False
2019-11-17,69,False
2019-11-24,47,False
2019-12-01,21,False
2019-12-08,22,False
2019-12-15,88,False
2019-12-22,24,False
2019-12-29,34,False
2020-01-05,60,False
2020-01-12,38,False
2020-01-19,77,False
2020-01-26,19,False
2020-02-02,48,False
2020-02-09,48,False
2020-02-16,39,False
2020-02-23,49,False
2020-03-01,20,False
2020-03-08,37,False
2020-03-15,35,False
2020-03-22,26,False
2020-03-29,17,False
2020-04-05,17,False
2020-04-12,0,False
2020-04-19,17,False
2020-04-26,32,False
2020-05-03,33,False
2020-05-10,26,False
2020-05-17,0,True
