date,torta al caffè,isPartial
2018-01-07,29,False
2018-01-14,0,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,57,False
2018-02-11,62,False
2018-02-18,48,False
2018-02-25,37,False
2018-03-04,19,False
2018-03-11,39,False
2018-03-18,39,False
2018-03-25,31,False
2018-04-01,0,False
2018-04-08,41,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,19,False
2018-05-13,0,False
2018-05-20,40,False
2018-05-27,21,False
2018-06-03,0,False
2018-06-10,38,False
2018-06-17,19,False
2018-06-24,20,False
2018-07-01,40,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,41,False
2018-08-05,33,False
2018-08-12,23,False
2018-08-19,71,False
2018-08-26,21,False
2018-09-02,40,False
2018-09-09,0,False
2018-09-16,38,False
2018-09-23,0,False
2018-09-30,58,False
2018-10-07,20,False
2018-10-14,21,False
2018-10-21,69,False
2018-10-28,39,False
2018-11-04,39,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,42,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,22,False
2018-12-30,21,False
2019-01-06,20,False
2019-01-13,0,False
2019-01-20,55,False
2019-01-27,28,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,0,False
2019-03-10,47,False
2019-03-17,40,False
2019-03-24,30,False
2019-03-31,19,False
2019-04-07,39,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,57,False
2019-05-12,29,False
2019-05-19,19,False
2019-05-26,0,False
2019-06-02,20,False
2019-06-09,21,False
2019-06-16,0,False
2019-06-23,42,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,43,False
2019-08-04,22,False
2019-08-11,0,False
2019-08-18,22,False
2019-08-25,59,False
2019-09-01,0,False
2019-09-08,19,False
2019-09-15,0,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,54,False
2019-10-27,27,False
2019-11-03,34,False
2019-11-10,36,False
2019-11-17,35,False
2019-11-24,18,False
2019-12-01,56,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,0,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,52,False
2020-02-02,51,False
2020-02-09,18,False
2020-02-16,35,False
2020-02-23,17,False
2020-03-01,33,False
2020-03-08,39,False
2020-03-15,100,False
2020-03-22,100,False
2020-03-29,66,False
2020-04-05,46,False
2020-04-12,46,False
2020-04-19,78,False
2020-04-26,74,True
