date,book foto,isPartial
2018-01-07,0,False
2018-01-14,100,False
2018-01-21,42,False
2018-01-28,0,False
2018-02-04,56,False
2018-02-11,57,False
2018-02-18,27,False
2018-02-25,54,False
2018-03-04,41,False
2018-03-11,69,False
2018-03-18,28,False
2018-03-25,15,False
2018-04-01,76,False
2018-04-08,56,False
2018-04-15,14,False
2018-04-22,15,False
2018-04-29,43,False
2018-05-06,42,False
2018-05-13,57,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,14,False
2018-06-10,0,False
2018-06-17,42,False
2018-06-24,14,False
2018-07-01,0,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,58,False
2018-07-29,44,False
2018-08-05,30,False
2018-08-12,16,False
2018-08-19,31,False
2018-08-26,44,False
2018-09-02,55,False
2018-09-09,56,False
2018-09-16,14,False
2018-09-23,83,False
2018-09-30,42,False
2018-10-07,28,False
2018-10-14,58,False
2018-10-21,14,False
2018-10-28,14,False
2018-11-04,41,False
2018-11-11,0,False
2018-11-18,55,False
2018-11-25,14,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,50,False
2018-12-30,31,False
2019-01-06,42,False
2019-01-13,28,False
2019-01-20,53,False
2019-01-27,91,False
2019-02-03,80,False
2019-02-10,27,False
2019-02-17,41,False
2019-02-24,41,False
2019-03-03,43,False
2019-03-10,28,False
2019-03-17,14,False
2019-03-24,84,False
2019-03-31,42,False
2019-04-07,14,False
2019-04-14,57,False
2019-04-21,75,False
2019-04-28,14,False
2019-05-05,40,False
2019-05-12,40,False
2019-05-19,13,False
2019-05-26,26,False
2019-06-02,69,False
2019-06-09,28,False
2019-06-16,56,False
2019-06-23,43,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,28,False
2019-07-21,0,False
2019-07-28,44,False
2019-08-04,45,False
2019-08-11,48,False
2019-08-18,15,False
2019-08-25,0,False
2019-09-01,64,False
2019-09-08,40,False
2019-09-15,0,False
2019-09-22,26,False
2019-09-29,13,False
2019-10-06,79,False
2019-10-13,52,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,12,False
2019-11-10,0,False
2019-11-17,13,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,15,False
2019-12-29,58,False
2020-01-05,26,False
2020-01-12,12,False
2020-01-19,49,False
2020-01-26,36,False
2020-02-02,12,False
2020-02-09,37,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,32,False
2020-04-05,45,False
2020-04-12,34,False
2020-04-19,85,False
2020-04-26,74,True
