date,Cours guitare,isPartial
2018-01-07,60,False
2018-01-14,59,False
2018-01-21,60,False
2018-01-28,30,False
2018-02-04,29,False
2018-02-11,30,False
2018-02-18,46,False
2018-02-25,62,False
2018-03-04,31,False
2018-03-11,46,False
2018-03-18,62,False
2018-03-25,41,False
2018-04-01,47,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,45,False
2018-04-29,48,False
2018-05-06,33,False
2018-05-13,63,False
2018-05-20,32,False
2018-05-27,45,False
2018-06-03,30,False
2018-06-10,29,False
2018-06-17,47,False
2018-06-24,47,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,66,False
2018-07-22,65,False
2018-07-29,33,False
2018-08-05,100,False
2018-08-12,45,False
2018-08-19,54,False
2018-08-26,94,False
2018-09-02,96,False
2018-09-09,64,False
2018-09-16,63,False
2018-09-23,63,False
2018-09-30,31,False
2018-10-07,48,False
2018-10-14,33,False
2018-10-21,32,False
2018-10-28,47,False
2018-11-04,80,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,57,False
2018-12-02,43,False
2018-12-09,87,False
2018-12-16,45,False
2018-12-23,83,False
2018-12-30,32,False
2019-01-06,29,False
2019-01-13,58,False
2019-01-20,57,False
2019-01-27,57,False
2019-02-03,58,False
2019-02-10,31,False
2019-02-17,94,False
2019-02-24,29,False
2019-03-03,42,False
2019-03-10,59,False
2019-03-17,61,False
2019-03-24,40,False
2019-03-31,46,False
2019-04-07,32,False
2019-04-14,32,False
2019-04-21,30,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,47,False
2019-06-09,29,False
2019-06-16,31,False
2019-06-23,30,False
2019-06-30,45,False
2019-07-07,30,False
2019-07-14,92,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,62,False
2019-08-25,39,False
2019-09-01,68,False
2019-09-08,68,False
2019-09-15,57,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,56,False
2019-10-13,0,False
2019-10-20,28,False
2019-10-27,40,False
2019-11-03,53,False
2019-11-10,54,False
2019-11-17,27,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,40,False
2019-12-22,69,False
2019-12-29,86,False
2020-01-05,52,False
2020-01-12,38,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,39,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,34,False
2020-03-01,49,False
2020-03-08,25,False
2020-03-15,55,False
2020-03-22,42,False
2020-03-29,31,False
2020-04-05,42,False
2020-04-12,30,False
2020-04-19,28,False
2020-04-26,40,False
2020-05-03,40,False
2020-05-10,45,False
2020-05-17,28,True
