date,Baugerüst,isPartial
2018-01-07,22,False
2018-01-14,43,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,44,False
2018-02-18,0,False
2018-02-25,21,False
2018-03-04,22,False
2018-03-11,22,False
2018-03-18,22,False
2018-03-25,35,False
2018-04-01,23,False
2018-04-08,29,False
2018-04-15,22,False
2018-04-22,54,False
2018-04-29,22,False
2018-05-06,69,False
2018-05-13,32,False
2018-05-20,35,False
2018-05-27,22,False
2018-06-03,43,False
2018-06-10,42,False
2018-06-17,21,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,28,False
2018-07-15,34,False
2018-07-22,57,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,57,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,66,False
2018-09-09,30,False
2018-09-16,33,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,22,False
2018-10-14,45,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,42,False
2018-11-11,21,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,37,False
2018-12-30,45,False
2019-01-06,20,False
2019-01-13,20,False
2019-01-20,40,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,21,False
2019-03-03,82,False
2019-03-10,40,False
2019-03-17,32,False
2019-03-24,31,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,30,False
2019-04-21,33,False
2019-04-28,32,False
2019-05-05,34,False
2019-05-12,35,False
2019-05-19,31,False
2019-05-26,64,False
2019-06-02,21,False
2019-06-09,42,False
2019-06-16,43,False
2019-06-23,42,False
2019-06-30,0,False
2019-07-07,41,False
2019-07-14,44,False
2019-07-21,23,False
2019-07-28,23,False
2019-08-04,35,False
2019-08-11,55,False
2019-08-18,22,False
2019-08-25,21,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,21,False
2019-09-22,20,False
2019-09-29,21,False
2019-10-06,40,False
2019-10-13,20,False
2019-10-20,41,False
2019-10-27,100,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,45,False
2019-12-29,32,False
2020-01-05,28,False
2020-01-12,45,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,18,False
2020-02-16,25,False
2020-02-23,18,False
2020-03-01,18,False
2020-03-08,34,False
2020-03-15,39,False
2020-03-22,28,False
2020-03-29,22,False
2020-04-05,36,False
2020-04-12,34,False
2020-04-19,28,False
2020-04-26,16,False
2020-05-03,28,False
2020-05-10,45,False
