date,matrimonio in chiesa,matrimonio simbolico,matrimonio civile,isPartial
2018-01-07,0,0,25,False
2018-01-14,25,0,0,False
2018-01-21,25,0,0,False
2018-01-28,0,0,0,False
2018-02-04,0,0,24,False
2018-02-11,0,0,24,False
2018-02-18,23,0,23,False
2018-02-25,0,0,48,False
2018-03-04,0,0,0,False
2018-03-11,0,0,25,False
2018-03-18,0,0,25,False
2018-03-25,0,0,0,False
2018-04-01,0,0,0,False
2018-04-08,0,0,26,False
2018-04-15,0,0,0,False
2018-04-22,26,0,0,False
2018-04-29,0,0,40,False
2018-05-06,0,0,25,False
2018-05-13,26,0,25,False
2018-05-20,0,0,0,False
2018-05-27,0,0,27,False
2018-06-03,26,0,26,False
2018-06-10,0,0,24,False
2018-06-17,24,0,24,False
2018-06-24,24,0,72,False
2018-07-01,0,0,26,False
2018-07-08,24,0,0,False
2018-07-15,25,0,0,False
2018-07-22,0,0,0,False
2018-07-29,22,0,22,False
2018-08-05,21,0,21,False
2018-08-12,0,0,0,False
2018-08-19,18,0,71,False
2018-08-26,21,0,21,False
2018-09-02,0,0,0,False
2018-09-09,26,0,40,False
2018-09-16,27,0,54,False
2018-09-23,0,0,0,False
2018-09-30,0,0,38,False
2018-10-07,0,0,55,False
2018-10-14,0,0,0,False
2018-10-21,26,0,52,False
2018-10-28,0,0,25,False
2018-11-04,0,0,26,False
2018-11-11,0,0,55,False
2018-11-18,0,0,26,False
2018-11-25,0,0,0,False
2018-12-02,0,0,0,False
2018-12-09,0,0,0,False
2018-12-16,0,0,0,False
2018-12-23,29,0,0,False
2018-12-30,0,0,27,False
2019-01-06,0,0,26,False
2019-01-13,0,0,26,False
2019-01-20,25,0,24,False
2019-01-27,0,0,25,False
2019-02-03,0,0,50,False
2019-02-10,0,0,25,False
2019-02-17,26,0,51,False
2019-02-24,25,0,25,False
2019-03-03,0,0,27,False
2019-03-10,0,0,0,False
2019-03-17,26,0,0,False
2019-03-24,0,0,26,False
2019-03-31,0,0,0,False
2019-04-07,0,0,26,False
2019-04-14,0,0,55,False
2019-04-21,0,0,0,False
2019-04-28,0,0,26,False
2019-05-05,0,0,0,False
2019-05-12,0,0,26,False
2019-05-19,26,0,26,False
2019-05-26,37,0,24,False
2019-06-02,0,0,40,False
2019-06-09,0,0,27,False
2019-06-16,0,0,53,False
2019-06-23,0,0,26,False
2019-06-30,27,0,0,False
2019-07-07,25,0,0,False
2019-07-14,0,0,50,False
2019-07-21,0,0,100,False
2019-07-28,24,0,0,False
2019-08-04,0,0,22,False
2019-08-11,0,0,21,False
2019-08-18,0,0,41,False
2019-08-25,21,0,21,False
2019-09-01,0,0,23,False
2019-09-08,0,0,26,False
2019-09-15,26,0,27,False
2019-09-22,0,0,0,False
2019-09-29,0,0,26,False
2019-10-06,0,0,53,False
2019-10-13,0,0,0,False
2019-10-20,0,0,0,False
2019-10-27,0,0,0,False
2019-11-03,26,0,26,False
2019-11-10,0,0,0,False
2019-11-17,27,0,0,False
2019-11-24,0,0,0,False
2019-12-01,0,0,27,False
2019-12-08,0,0,0,False
2019-12-15,0,0,0,False
2019-12-22,0,0,27,False
2019-12-29,0,0,26,False
2020-01-05,0,0,0,False
2020-01-12,0,0,0,False
2020-01-19,25,0,0,False
2020-01-26,0,0,0,False
2020-02-02,0,0,23,False
2020-02-09,0,0,24,False
2020-02-16,0,0,24,False
2020-02-23,0,0,23,False
2020-03-01,0,0,0,False
2020-03-08,0,0,41,False
2020-03-15,0,0,0,False
2020-03-22,0,0,0,False
2020-03-29,0,0,0,False
2020-04-05,20,0,20,False
2020-04-12,0,0,42,False
2020-04-19,19,0,19,False
2020-04-26,20,0,20,False
2020-05-03,0,0,28,True
