date,Glaser,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,34,False
2018-01-28,51,False
2018-02-04,27,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,79,False
2018-03-25,0,False
2018-04-01,29,False
2018-04-08,41,False
2018-04-15,28,False
2018-04-22,56,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,28,False
2018-05-27,53,False
2018-06-03,56,False
2018-06-10,27,False
2018-06-17,40,False
2018-06-24,41,False
2018-07-01,56,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,26,False
2018-08-19,53,False
2018-08-26,40,False
2018-09-02,27,False
2018-09-09,54,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,28,False
2018-10-07,56,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,100,False
2018-11-18,24,False
2018-11-25,51,False
2018-12-02,33,False
2018-12-09,50,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,35,False
2019-01-13,23,False
2019-01-20,46,False
2019-01-27,30,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,25,False
2019-03-24,24,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,27,False
2019-04-21,26,False
2019-04-28,24,False
2019-05-05,58,False
2019-05-12,24,False
2019-05-19,35,False
2019-05-26,25,False
2019-06-02,24,False
2019-06-09,36,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,40,False
2019-07-07,0,False
2019-07-14,35,False
2019-07-21,27,False
2019-07-28,52,False
2019-08-04,26,False
2019-08-11,49,False
2019-08-18,24,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,36,False
2019-09-15,33,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,33,False
2019-11-17,32,False
2019-11-24,29,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,35,False
2019-12-29,23,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,41,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,41,False
2020-02-23,27,False
2020-03-01,27,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,24,False
2020-04-05,20,False
2020-04-12,25,False
2020-04-19,31,False
2020-04-26,18,False
2020-05-03,37,False
2020-05-10,28,False
