date,taglio corto,isPartial
2018-01-07,62,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,91,False
2018-02-11,0,False
2018-02-18,29,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,31,False
2018-04-22,31,False
2018-04-29,0,False
2018-05-06,89,False
2018-05-13,0,False
2018-05-20,30,False
2018-05-27,30,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,30,False
2018-07-29,62,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,29,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,0,False
2018-10-14,31,False
2018-10-21,0,False
2018-10-28,59,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,51,False
2019-01-27,51,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,26,False
2019-03-03,0,False
2019-03-10,80,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,56,False
2019-04-21,0,False
2019-04-28,51,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,26,False
2019-06-09,82,False
2019-06-16,27,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,59,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,28,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,100,False
2019-09-22,48,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,0,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,73,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,53,False
2020-01-12,0,False
2020-01-19,48,False
2020-01-26,46,False
2020-02-02,45,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,21,False
2020-03-22,58,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,35,True
