date,Balkon,isPartial
2018-01-07,33,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,33,False
2018-02-11,36,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,65,False
2018-03-11,32,False
2018-03-18,99,False
2018-03-25,34,False
2018-04-01,68,False
2018-04-08,69,False
2018-04-15,53,False
2018-04-22,97,False
2018-04-29,34,False
2018-05-06,67,False
2018-05-13,66,False
2018-05-20,0,False
2018-05-27,100,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,32,False
2018-06-24,31,False
2018-07-01,32,False
2018-07-08,46,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,63,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,90,False
2018-08-26,30,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,63,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,61,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,58,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,60,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,29,False
2019-03-10,56,False
2019-03-17,28,False
2019-03-24,0,False
2019-03-31,86,False
2019-04-07,56,False
2019-04-14,30,False
2019-04-21,0,False
2019-04-28,27,False
2019-05-05,53,False
2019-05-12,26,False
2019-05-19,27,False
2019-05-26,26,False
2019-06-02,27,False
2019-06-09,41,False
2019-06-16,0,False
2019-06-23,56,False
2019-06-30,28,False
2019-07-07,54,False
2019-07-14,56,False
2019-07-21,0,False
2019-07-28,54,False
2019-08-04,28,False
2019-08-11,0,False
2019-08-18,25,False
2019-08-25,51,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,51,False
2019-10-06,0,False
2019-10-13,51,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,24,False
2019-11-10,0,False
2019-11-17,25,False
2019-11-24,38,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,50,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,23,False
2020-01-26,46,False
2020-02-02,24,False
2020-02-09,77,False
2020-02-16,24,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,21,False
2020-03-15,49,False
2020-03-22,37,False
2020-03-29,37,False
2020-04-05,86,False
2020-04-12,100,False
2020-04-19,98,False
2020-04-26,59,False
2020-05-03,71,False
2020-05-10,30,False
2020-05-17,55,False
2020-05-24,20,False
2020-05-31,29,False
2020-06-07,20,False
2020-06-14,30,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,46,False
