date,bomboniere,isPartial
2018-01-07,46,False
2018-01-14,41,False
2018-01-21,100,False
2018-01-28,71,False
2018-02-04,24,False
2018-02-11,35,False
2018-02-18,28,False
2018-02-25,54,False
2018-03-04,58,False
2018-03-11,49,False
2018-03-18,58,False
2018-03-25,20,False
2018-04-01,31,False
2018-04-08,42,False
2018-04-15,61,False
2018-04-22,16,False
2018-04-29,25,False
2018-05-06,34,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,32,False
2018-06-03,10,False
2018-06-10,20,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,31,False
2018-07-22,24,False
2018-07-29,19,False
2018-08-05,9,False
2018-08-12,17,False
2018-08-19,18,False
2018-08-26,24,False
2018-09-02,20,False
2018-09-09,26,False
2018-09-16,35,False
2018-09-23,25,False
2018-09-30,20,False
2018-10-07,22,False
2018-10-14,10,False
2018-10-21,31,False
2018-10-28,41,False
2018-11-04,15,False
2018-11-11,21,False
2018-11-18,10,False
2018-11-25,10,False
2018-12-02,41,False
2018-12-09,20,False
2018-12-16,10,False
2018-12-23,31,False
2018-12-30,9,False
2019-01-06,18,False
2019-01-13,29,False
2019-01-20,27,False
2019-01-27,33,False
2019-02-03,28,False
2019-02-10,38,False
2019-02-17,10,False
2019-02-24,19,False
2019-03-03,21,False
2019-03-10,30,False
2019-03-17,36,False
2019-03-24,44,False
2019-03-31,35,False
2019-04-07,25,False
2019-04-14,15,False
2019-04-21,20,False
2019-04-28,34,False
2019-05-05,50,False
2019-05-12,24,False
2019-05-19,39,False
2019-05-26,18,False
2019-06-02,20,False
2019-06-09,10,False
2019-06-16,10,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,10,False
2019-07-14,20,False
2019-07-21,30,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,22,False
2019-08-18,21,False
2019-08-25,21,False
2019-09-01,30,False
2019-09-08,23,False
2019-09-15,32,False
2019-09-22,18,False
2019-09-29,32,False
2019-10-06,24,False
2019-10-13,19,False
2019-10-20,23,False
2019-10-27,22,False
2019-11-03,9,False
2019-11-10,23,False
2019-11-17,9,False
2019-11-24,13,False
2019-12-01,18,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,14,False
2019-12-29,17,False
2020-01-05,26,False
2020-01-12,33,False
2020-01-19,39,False
2020-01-26,38,False
2020-02-02,28,False
2020-02-09,34,False
2020-02-16,34,False
2020-02-23,36,False
2020-03-01,24,False
2020-03-08,7,False
2020-03-15,7,False
2020-03-22,0,False
2020-03-29,7,False
2020-04-05,7,False
2020-04-12,22,False
2020-04-19,10,False
2020-04-26,0,True
