date,festa matrimonio,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,37,False
2018-02-04,37,False
2018-02-11,40,False
2018-02-18,76,False
2018-02-25,36,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,41,False
2018-04-29,0,False
2018-05-06,38,False
2018-05-13,100,False
2018-05-20,59,False
2018-05-27,41,False
2018-06-03,40,False
2018-06-10,0,False
2018-06-17,38,False
2018-06-24,79,False
2018-07-01,39,False
2018-07-08,0,False
2018-07-15,81,False
2018-07-22,41,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,93,False
2018-08-19,46,False
2018-08-26,42,False
2018-09-02,0,False
2018-09-09,38,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,38,False
2018-10-07,40,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,40,False
2018-11-25,40,False
2018-12-02,42,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,39,False
2019-01-13,0,False
2019-01-20,72,False
2019-01-27,55,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,37,False
2019-02-24,37,False
2019-03-03,39,False
2019-03-10,56,False
2019-03-17,0,False
2019-03-24,40,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,82,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,57,False
2019-05-12,57,False
2019-05-19,0,False
2019-05-26,72,False
2019-06-02,39,False
2019-06-09,41,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,61,False
2019-07-21,42,False
2019-07-28,0,False
2019-08-04,43,False
2019-08-11,93,False
2019-08-18,44,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,52,False
2019-10-06,37,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,35,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,70,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,69,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,30,False
2020-04-19,0,False
2020-04-26,0,True
