date,Abito da sposa,isPartial
2018-01-07,26,False
2018-01-14,30,False
2018-01-21,17,False
2018-01-28,8,False
2018-02-04,25,False
2018-02-11,21,False
2018-02-18,24,False
2018-02-25,32,False
2018-03-04,17,False
2018-03-11,29,False
2018-03-18,22,False
2018-03-25,18,False
2018-04-01,42,False
2018-04-08,17,False
2018-04-15,31,False
2018-04-22,0,False
2018-04-29,17,False
2018-05-06,33,False
2018-05-13,65,False
2018-05-20,56,False
2018-05-27,56,False
2018-06-03,39,False
2018-06-10,46,False
2018-06-17,34,False
2018-06-24,17,False
2018-07-01,42,False
2018-07-08,46,False
2018-07-15,17,False
2018-07-22,35,False
2018-07-29,23,False
2018-08-05,33,False
2018-08-12,26,False
2018-08-19,23,False
2018-08-26,51,False
2018-09-02,100,False
2018-09-09,34,False
2018-09-16,21,False
2018-09-23,50,False
2018-09-30,38,False
2018-10-07,22,False
2018-10-14,21,False
2018-10-21,39,False
2018-10-28,8,False
2018-11-04,16,False
2018-11-11,0,False
2018-11-18,8,False
2018-11-25,21,False
2018-12-02,9,False
2018-12-09,9,False
2018-12-16,14,False
2018-12-23,22,False
2018-12-30,20,False
2019-01-06,18,False
2019-01-13,42,False
2019-01-20,29,False
2019-01-27,21,False
2019-02-03,24,False
2019-02-10,29,False
2019-02-17,21,False
2019-02-24,9,False
2019-03-03,22,False
2019-03-10,13,False
2019-03-17,42,False
2019-03-24,13,False
2019-03-31,21,False
2019-04-07,30,False
2019-04-14,18,False
2019-04-21,29,False
2019-04-28,26,False
2019-05-05,17,False
2019-05-12,20,False
2019-05-19,12,False
2019-05-26,8,False
2019-06-02,13,False
2019-06-09,17,False
2019-06-16,21,False
2019-06-23,22,False
2019-06-30,9,False
2019-07-07,32,False
2019-07-14,25,False
2019-07-21,42,False
2019-07-28,21,False
2019-08-04,14,False
2019-08-11,19,False
2019-08-18,26,False
2019-08-25,12,False
2019-09-01,41,False
2019-09-08,23,False
2019-09-15,15,False
2019-09-22,12,False
2019-09-29,16,False
2019-10-06,32,False
2019-10-13,8,False
2019-10-20,23,False
2019-10-27,31,False
2019-11-03,15,False
2019-11-10,23,False
2019-11-17,8,False
2019-11-24,11,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,28,False
2019-12-22,24,False
2019-12-29,18,False
2020-01-05,15,False
2020-01-12,14,False
2020-01-19,29,False
2020-01-26,18,False
2020-02-02,11,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,17,False
2020-03-01,13,False
2020-03-08,19,False
2020-03-15,13,False
2020-03-22,15,False
2020-03-29,19,False
2020-04-05,13,False
2020-04-12,26,False
2020-04-19,25,False
2020-04-26,27,True
