date,Parkett reparieren,isPartial
2018-01-07,54,False
2018-01-14,45,False
2018-01-21,81,False
2018-01-28,27,False
2018-02-04,56,False
2018-02-11,42,False
2018-02-18,69,False
2018-02-25,55,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,28,False
2018-03-25,39,False
2018-04-01,30,False
2018-04-08,66,False
2018-04-15,58,False
2018-04-22,46,False
2018-04-29,44,False
2018-05-06,59,False
2018-05-13,28,False
2018-05-20,0,False
2018-05-27,38,False
2018-06-03,28,False
2018-06-10,81,False
2018-06-17,27,False
2018-06-24,56,False
2018-07-01,56,False
2018-07-08,37,False
2018-07-15,43,False
2018-07-22,57,False
2018-07-29,29,False
2018-08-05,28,False
2018-08-12,39,False
2018-08-19,43,False
2018-08-26,38,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,28,False
2018-09-23,42,False
2018-09-30,70,False
2018-10-07,28,False
2018-10-14,28,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,40,False
2018-11-11,27,False
2018-11-18,39,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,54,False
2018-12-16,55,False
2018-12-23,32,False
2018-12-30,67,False
2019-01-06,34,False
2019-01-13,25,False
2019-01-20,100,False
2019-01-27,88,False
2019-02-03,39,False
2019-02-10,61,False
2019-02-17,26,False
2019-02-24,40,False
2019-03-03,52,False
2019-03-10,51,False
2019-03-17,27,False
2019-03-24,26,False
2019-03-31,54,False
2019-04-07,52,False
2019-04-14,29,False
2019-04-21,42,False
2019-04-28,65,False
2019-05-05,51,False
2019-05-12,40,False
2019-05-19,39,False
2019-05-26,27,False
2019-06-02,26,False
2019-06-09,67,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,92,False
2019-07-14,54,False
2019-07-21,29,False
2019-07-28,55,False
2019-08-04,42,False
2019-08-11,53,False
2019-08-18,41,False
2019-08-25,53,False
2019-09-01,43,False
2019-09-08,26,False
2019-09-15,52,False
2019-09-22,34,False
2019-09-29,26,False
2019-10-06,34,False
2019-10-13,76,False
2019-10-20,42,False
2019-10-27,37,False
2019-11-03,48,False
2019-11-10,49,False
2019-11-17,37,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,49,False
2019-12-15,25,False
2019-12-22,43,False
2019-12-29,27,False
2020-01-05,63,False
2020-01-12,45,False
2020-01-19,70,False
2020-01-26,46,False
2020-02-02,47,False
2020-02-09,68,False
2020-02-16,32,False
2020-02-23,23,False
2020-03-01,34,False
2020-03-08,43,False
2020-03-15,31,False
2020-03-22,42,False
2020-03-29,31,False
2020-04-05,57,False
2020-04-12,66,False
2020-04-19,28,False
2020-04-26,83,False
2020-05-03,35,False
2020-05-10,42,False
