date,castello matrimonio,isPartial
2018-01-07,52,False
2018-01-14,0,False
2018-01-21,51,False
2018-01-28,34,False
2018-02-04,42,False
2018-02-11,57,False
2018-02-18,39,False
2018-02-25,30,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,16,False
2018-03-25,25,False
2018-04-01,17,False
2018-04-08,16,False
2018-04-15,32,False
2018-04-22,17,False
2018-04-29,48,False
2018-05-06,39,False
2018-05-13,70,False
2018-05-20,39,False
2018-05-27,56,False
2018-06-03,33,False
2018-06-10,62,False
2018-06-17,30,False
2018-06-24,33,False
2018-07-01,24,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,45,False
2018-08-12,74,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,40,False
2018-09-09,39,False
2018-09-16,37,False
2018-09-23,38,False
2018-09-30,31,False
2018-10-07,16,False
2018-10-14,31,False
2018-10-21,16,False
2018-10-28,31,False
2018-11-04,15,False
2018-11-11,53,False
2018-11-18,15,False
2018-11-25,16,False
2018-12-02,14,False
2018-12-09,0,False
2018-12-16,17,False
2018-12-23,31,False
2018-12-30,18,False
2019-01-06,61,False
2019-01-13,51,False
2019-01-20,16,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,34,False
2019-02-17,17,False
2019-02-24,30,False
2019-03-03,53,False
2019-03-10,18,False
2019-03-17,18,False
2019-03-24,17,False
2019-03-31,17,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,59,False
2019-04-28,50,False
2019-05-05,46,False
2019-05-12,16,False
2019-05-19,34,False
2019-05-26,0,False
2019-06-02,42,False
2019-06-09,25,False
2019-06-16,35,False
2019-06-23,27,False
2019-06-30,46,False
2019-07-07,100,False
2019-07-14,28,False
2019-07-21,36,False
2019-07-28,20,False
2019-08-04,31,False
2019-08-11,57,False
2019-08-18,21,False
2019-08-25,19,False
2019-09-01,24,False
2019-09-08,51,False
2019-09-15,33,False
2019-09-22,25,False
2019-09-29,33,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,49,False
2019-10-27,33,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,16,False
2019-12-01,33,False
2019-12-08,33,False
2019-12-15,17,False
2019-12-22,31,False
2019-12-29,58,False
2020-01-05,50,False
2020-01-12,31,False
2020-01-19,24,False
2020-01-26,31,False
2020-02-02,31,False
2020-02-09,0,False
2020-02-16,16,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,15,False
2020-03-22,28,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,23,False
2020-04-19,14,False
2020-04-26,37,True
